"sample","site","species","ssd","per.N","per.C","ht","dbh","dbh2","dbh3","lma","type","C.N"
"SPIALB04_GR","GR","SPIALB",0.419354838709677,3.642398633,46.05948299,1.1,NA,NA,NA,0.00220485895792854,NA,NA
"SPIALB05_GR","GR","SPIALB",0.555555555555556,2.699798341,48.93822469,1.2,NA,NA,NA,0.00457106990325706,NA,NA
"SPIALB06_GR","GR","SPIALB",0.576271186440678,2.623086312,46.94754315,1.4,NA,NA,NA,0.00298383539607172,NA,NA
"SPIALB07_GR","GR","SPIALB",0.436363636363636,2.827955083,47.09990017,1.5,NA,NA,NA,0.00270318976392143,NA,NA
"SPIALB08_GR","GR","SPIALB",NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"SPIALB09_GR","GR","SPIALB",0.625,2.041757604,47.13726377,1.2,NA,NA,NA,0.00383956524307402,NA,NA
"SPIALB10_GR","GR","SPIALB",0.480769230769231,1.911023799,47.82870948,1.2,NA,NA,NA,0.00416194112934273,NA,NA
"ULMAME01_GR","GR","ULMAME",0.617647058823529,2.500007146,42.13145752,3,1.7,NA,NA,0.00273125907301815,NA,NA
"ULMAME02_GR","GR","ULMAME",0.544303797468354,3.287945161,43.12958791,4.5,4.1,NA,NA,0.00420505610925614,NA,NA
"ULMAME03_GR","GR","ULMAME",0.730769230769231,2.400399486,43.49998209,8,8.2,11.2,NA,0.00390439508257268,NA,NA
"ULMAME04_GR","GR","ULMAME",0.525641025641026,4.474435048,44.75673935,17,26.6,NA,NA,0.00386283493838587,NA,NA
"ULMAME05_GR","GR","ULMAME",0.547297297297297,2.802512231,44.23008753,14,14.3,NA,NA,0.00457899716177862,NA,NA
"ULMAME06_GR","GR","ULMAME",0.547400611620795,2.844577951,44.36629687,14,21.3,NA,NA,0.00423791027643188,NA,NA
"ULMAME07_GR","GR","ULMAME",NA,NA,NA,3.5,2.4,NA,NA,NA,NA,NA
"ULMAME08_GR","GR","ULMAME",NA,NA,NA,NA,10.8,NA,NA,NA,NA,NA
"ULMAME09_GR","GR","ULMAME",NA,NA,NA,NA,12.4,2.8,1.9,NA,NA,NA
"ULMAME10_GR","GR","ULMAME",NA,NA,NA,5,3.5,NA,NA,NA,NA,NA
"ULMAME11_GR","GR","ULMAME",NA,NA,NA,NA,12.7,NA,NA,NA,NA,NA
"ULMAME12_GR","GR","ULMAME",NA,NA,NA,7,9.2,NA,NA,NA,NA,NA
"ULMAME13_GR","GR","ULMAME",NA,NA,NA,NA,14.3,NA,NA,NA,NA,NA
"VACMYR01_GR","GR","VACMYR",1.8,2.534835551,46.93957035,0.3,NA,NA,NA,0.00233421595874273,NA,NA
"VACMYR02_GR","GR","VACMYR",1,2.75458265,46.73151195,0.3,NA,NA,NA,0.00208796164832044,NA,NA
"VACMYR03_GR","GR","VACMYR",0.75,2.615073373,47.45069279,0.3,NA,NA,NA,0.00258059079729723,NA,NA
"VACMYR04_GR","GR","VACMYR",0.666666666666667,2.351109653,47.15155476,0.4,NA,NA,NA,0.00297130903991062,NA,NA
"VACMYR05_GR","GR","VACMYR",0.647058823529412,2.190627754,47.32824234,0.5,NA,NA,NA,0.00365221758086238,NA,NA
"VACMYR06_GR","GR","VACMYR",0.565217391304348,2.02403976,47.05252317,0.7,NA,NA,NA,0.00265239197530864,NA,NA
"VACMYR07_GR","GR","VACMYR",NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA
"VIBCAS01_GR","GR","VIBCAS",0.556818181818182,2.543796104,46.76484721,2.5,1.6,1.4,NA,0.00374956602245111,NA,NA
"VIBCAS02_GR","GR","VIBCAS",0.578512396694215,2.450700857,45.73279779,1.5,NA,NA,NA,0.00320806167026787,NA,NA
"VIBCAS03_GR","GR","VIBCAS",0.588235294117647,2.255034555,46.68923502,1.1,NA,NA,NA,0.00430495556537169,NA,NA
"VIBCAS04_GR","GR","VIBCAS",0.526315789473684,2.161589994,46.99765665,2.4,1.2,1.3,1.2,0.00485468847710891,NA,NA
"VIBCAS05_GR","GR","VIBCAS",0.527027027027027,2.587655662,45.72177413,1.4,NA,NA,NA,0.00420589245532992,NA,NA
"VIBCAS06_GR","GR","VIBCAS",0.572916666666667,2.542020711,46.86612601,1.3,NA,NA,NA,0.00344164670627457,NA,NA
"VIBCAS07_GR","GR","VIBCAS",NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA
"VIBCAS08_GR","GR","VIBCAS",NA,NA,NA,1.8,1,NA,NA,NA,NA,NA
"VIBCAS09_GR","GR","VIBCAS",NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA
"VIBCAS10_GR","GR","VIBCAS",NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA
"VIBCAS11_GR","GR","VIBCAS",NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA
"VIBCAS12_GR","GR","VIBCAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VIBLAN01_GR","GR","VIBLAN",0.481751824817518,2.144575407,47.23326909,1,1.4,1,NA,0.00334798074911069,NA,NA
"VIBLAN02_GR","GR","VIBLAN",0.4,2.032368093,45.74300956,2,1.4,NA,NA,0.00274172911716322,NA,NA
"VIBLAN03_GR","GR","VIBLAN",0.395833333333333,2.415410737,47.73977985,1.2,NA,NA,NA,0.00462229265715795,NA,NA
"VIBLAN04_GR","GR","VIBLAN",0.475409836065574,2.134123614,45.77277043,1.3,NA,NA,NA,0.00405621074099768,NA,NA
"VIBLAN05_GR","GR","VIBLAN",0.403225806451613,1.763141546,45.05860917,1.2,NA,NA,NA,0.00452672714091207,NA,NA
"VIBLAN06_GR","GR","VIBLAN",0.434108527131783,1.920064398,46.08228075,3,1.4,NA,NA,0.00354540781053341,NA,NA
"VIBLAN07_GR","GR","VIBLAN",0.432432432432432,2.058705017,46.27448638,2,1.3,NA,NA,0.00278361133362819,NA,NA
"VIBLAN08_GR","GR","VIBLAN",NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA
"ACEPEN01_WM","WM","ACEPEN",0.43763440860215,2.932542291,46.03634936,NA,1.7,4.6,1,0.00311118560264817,NA,NA
"ACEPEN02_WM","WM","ACEPEN",5.26666666666667,2.469078039,45.86526473,NA,7.3,NA,NA,NA,NA,NA
"ACEPEN03_WM","WM","ACEPEN",0.475728155339806,2.110933814,45.38881028,NA,6.4,NA,NA,0.00412151962760114,NA,NA
"ACEPEN04_WM","WM","ACEPEN",0.103547963206307,1.710568877,44.98652627,NA,14,NA,NA,0.00278813199445805,NA,NA
"ACEPEN04_WM-2","WM","ACEPEN",NA,NA,NA,NA,3.4,1.3,NA,NA,NA,NA
"ACEPEN05_WM","WM","ACEPEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACEPEN06_WM","WM","ACEPEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACEPEN07_WM","WM","ACEPEN",0.489784946236559,2.594174066,46.55923682,NA,8.4,NA,NA,0.00337848471812735,NA,NA
"ACEPEN08_WM","WM","ACEPEN",0.490657439446367,2.214867435,44.59151267,NA,9.3,NA,NA,0.00266645427377213,NA,NA
"ACEPEN09_WM","WM","ACEPEN",0.531784841075795,2.385746464,47.63093826,NA,6.5,NA,NA,0.00519887373751934,NA,NA
"ACEPEN09_WM-2","WM","ACEPEN",NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA
"ACERUB01_WM","WM","ACERUB",0.539338235294118,1.654895899,47.69815194,7,5,2,6.5,0.00846958095669052,NA,NA
"ACERUB02_WM","WM","ACERUB",0.577985948477752,2.229472211,47.5110414,NA,4.6,3.7,21.3,0.00618298835068786,NA,NA
"ACERUB03_WM","WM","ACERUB",0.53984375,2.006689541,44.71062665,NA,6.4,NA,NA,0.00381614759074708,NA,NA
"ACERUB04_WM","WM","ACERUB",0.516252821670429,2.156514381,44.63759644,NA,14,NA,NA,0.00476848184752799,NA,NA
"ACERUB05_WM","WM","ACERUB",0.542323651452282,2.004005099,48.1019825,NA,14.1,17,4.7,0.00346616118482721,NA,NA
"ACERUB06_WM","WM","ACERUB",0.48436018957346,2.055871101,48.41349015,4.5,3.7,NA,NA,0.00475218272909075,NA,NA
"ACESAC01_WM","WM","ACESAC",0.630581039755352,2.128564707,45.01642851,NA,7.5,NA,NA,0.0033233447587794,NA,NA
"ACESAC02_WM","WM","ACESAC",0.588571428571429,2.02008085,46.40224096,NA,6.9,NA,NA,0.00286917352134743,NA,NA
"ACESAC03_WM","WM","ACESAC",0.629383886255924,1.865114173,47.17418716,NA,24.7,NA,NA,0.00437177802486607,NA,NA
"ACESAC04_WM","WM","ACESAC",0.644132653061224,2.425803677,46.90708269,NA,9.8,NA,NA,0.00332409777006973,NA,NA
"ACESAC05_WM","WM","ACESAC",0.540372670807453,2.176060866,46.52141526,NA,5.5,NA,NA,0.00340015353195927,NA,NA
"ACESAC06_WM","WM","ACESAC",0.606748466257669,2.239953001,45.2031984,NA,9.5,NA,NA,0.00320927427155923,NA,NA
"ACESPI01_WM","WM","ACESPI",NA,NA,NA,3.5,2,1.7,1.8,NA,NA,NA
"ACESPI02_WM","WM","ACESPI",NA,NA,NA,5,4.1,NA,NA,NA,NA,NA
"ALNINC01_WM","WM","ALNINC",0.4825,2.935200464,49.76729752,2.5,3.3,1.3,NA,0.00610429198346883,NA,NA
"ALNINC02_WM","WM","ALNINC",0.528507795100223,2.307323378,47.0597344,5,2.2,2,2.5,0.00786144443663906,NA,NA
"ALNINC03_WM","WM","ALNINC",1.6293893129771,2.542307448,52.18845833,4.1,1.6,1,3.3,0.00667082553545436,NA,NA
"ALNINC04_WM","WM","ALNINC",0.46448087431694,2.438596379,47.7745429,3.5,2.9,1.9,NA,0.00599550159998297,NA,NA
"ALNINC05_WM","WM","ALNINC",0.484,2.145427132,50.42461961,NA,NA,NA,NA,0.00644053757180329,NA,NA
"ALNINC06_WM","WM","ALNINC",0.455060728744939,3.112731609,46.67225962,NA,NA,NA,NA,0.00384527781127323,NA,NA
"AMECAN01_WM","WM","AMECAN",0.622535211267606,2.053068029,47.87938434,5,2.5,3.2,NA,0.00536006673051376,NA,NA
"AMECAN02_WM","WM","AMECAN",0.681730769230769,1.757044104,37.09417957,5,4.5,5.6,NA,0.00444005488886752,NA,NA
"AMECAN03_WM","WM","AMECAN",0.727184466019417,1.723237428,47.17014011,0.75,NA,NA,NA,0.00513459045222905,NA,NA
"AMECAN04_WM","WM","AMECAN",0.651807228915663,1.707656114,47.52352743,3,2.2,NA,NA,0.00529745164129758,NA,NA
"AMECAN05_WM","WM","AMECAN",0.644106463878327,2.078438993,47.19374806,4.5,2.3,2.1,NA,0.00481892632380497,NA,NA
"AMECAN06_WM","WM","AMECAN",0.634027777777778,1.948518915,43.77129405,2.5,1.1,1.7,NA,0.00325086698199403,NA,NA
"AMECAN07_WM","WM","AMECAN",0.659798994974874,1.778222833,44.92988589,2,2,NA,NA,0.00358717014253277,NA,NA
"AMELAE01_WM","WM","AMELAE",0.750537634408602,1.886957282,46.99995128,1,NA,NA,NA,0.00611467102232274,NA,NA
"AMELAE02_WM","WM","AMELAE",0.737762237762238,2.051214944,45.98941365,NA,NA,NA,NA,0.00366384762730854,NA,NA
"AMELAE03_WM","WM","AMELAE",0.59616368286445,2.201251795,48.21693189,NA,NA,NA,NA,0.00457603819997106,NA,NA
"AMELAE04_WM","WM","AMELAE",0.65531914893617,2.112863827,45.29085672,NA,NA,NA,NA,0.00286690925129562,NA,NA
"AMELAE05_WM","WM","AMELAE",0.688484848484848,2.322784229,47.82626365,NA,NA,NA,NA,0.00392933906501881,NA,NA
"AMELAE06_WM","WM","AMELAE",0.600970873786408,1.844822368,46.46369618,NA,NA,NA,NA,0.00423004399748586,NA,NA
"AROMEL01_WM","WM","AROMEL",0.68515625,1.42489139,47.4282732,1.8,NA,NA,NA,0.00647216014324866,NA,NA
"AROMEL02_WM","WM","AROMEL",0.688695652173913,1.680318983,47.7632834,0.5,NA,NA,NA,0.00544056469748804,NA,NA
"AROMEL03_WM","WM","AROMEL",0.793243243243243,1.73023679,47.44614934,0.5,NA,NA,NA,0.0061469179123489,NA,NA
"AROMEL04_WM","WM","AROMEL",0.706382978723404,1.731508449,47.11606592,1.4,NA,NA,NA,0.005918932319643,NA,NA
"AROMEL05_WM","WM","AROMEL",0.659302325581395,1.771376618,48.31409278,1.2,NA,NA,NA,0.0065226813823433,NA,NA
"AROMEL06_WM","WM","AROMEL",0.638759689922481,1.865172917,44.38385745,1,NA,NA,NA,0.00427126398436848,NA,NA
"BETALL01_WM","WM","BETALL",0.571827411167513,2.31105207,46.53788816,NA,10.6,NA,NA,0.00318401405357927,NA,NA
"BETALL02_WM","WM","BETALL",0.573205741626794,2.864465756,47.48941717,NA,9.4,NA,NA,0.00331098526763436,NA,NA
"BETALL03_WM","WM","BETALL",0.638759689922481,3.577601419,47.57416674,NA,14.7,NA,NA,0.00236110110490362,NA,NA
"BETALL04_WM","WM","BETALL",0.544816053511706,2.744291088,48.10733395,NA,10.6,NA,NA,0.00320633660195049,NA,NA
"BETALL05_WM","WM","BETALL",0.551737451737452,3.104576045,48.56293117,NA,5.2,NA,NA,0.00286902383496724,NA,NA
"BETALL06_WM","WM","BETALL",0.525970149253731,2.847820239,47.19590954,NA,8.6,NA,NA,0.00395167287485035,NA,NA
"BETALL07_WM","WM","BETALL",0.551219512195122,2.644202183,49.24351649,NA,20.7,4.1,NA,0.00279205644217228,NA,NA
"BETPAP01_WM","WM","BETPAP",0.530851063829787,2.961238708,48.06317045,NA,9.6,NA,NA,0.00254836094057686,NA,NA
"BETPAP02_WM","WM","BETPAP",0.598461538461538,2.890093062,49.08711655,NA,9.4,NA,NA,0.00289238540477451,NA,NA
"BETPAP03_WM","WM","BETPAP",0.541390205371248,2.028979911,47.26726419,NA,24.5,NA,NA,0.00477805430826136,NA,NA
"BETPAP04_WM","WM","BETPAP",0.565748031496063,2.821205022,49.13057498,NA,9.4,NA,NA,0.00288594129621118,NA,NA
"BETPAP05_WM","WM","BETPAP",0.575892857142857,2.224142021,50.80874495,NA,12.5,NA,NA,0.00584889461257781,NA,NA
"BETPAP06_WM","WM","BETPAP",0.526315789473684,2.243823865,46.19684572,NA,14.6,NA,NA,0.00341325894273843,NA,NA
"BETPOP01_WM","WM","BETPOP",0.582089552238806,2.873599709,47.77307842,2.2,1.7,NA,NA,0.00250353440150801,NA,NA
"BETPOP03_WM","WM","BETPOP",0.600467289719626,2.689767697,49.26533085,NA,NA,NA,NA,0.00492269987904525,NA,NA
"BETPOP04_WM","WM","BETPOP",0.544992050874404,2.723519629,49.97850705,NA,NA,NA,NA,0.00486706479629656,NA,NA
"BETPOP05_WM","WM","BETPOP",0.558347676419966,2.360074652,49.25885934,NA,NA,NA,NA,0.00580744942934168,NA,NA
"BETPOP06_WM","WM","BETPOP",0.570137825421133,2.465456028,51.7424934,NA,NA,NA,NA,0.00528010949477953,NA,NA
"BETPOP07_WM","WM","BETPOP",0.587105263157895,2.563843533,50.38539046,NA,NA,NA,NA,0.0047122669389071,NA,NA
"CORALT01_WM","WM","CORALT",NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA
"CORALT02_WM","WM","CORALT",NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA
"CORALT03_WM","WM","CORALT",0.505263157894737,2.319880165,45.26673395,0.75,NA,NA,NA,0.00236400974258561,NA,NA
"CORALT04_WM","WM","CORALT",0.562303664921466,2.828316251,48.49214402,4.25,3.2,NA,NA,0.00660745682563467,NA,NA
"CORALT05_WM","WM","CORALT",0.4575,2.974077391,46.13294009,NA,NA,NA,NA,0.00211955818268111,NA,NA
"CORALT06_WM","WM","CORALT",0.578260869565217,2.182487035,46.04780322,NA,NA,NA,NA,0.00272971591255529,NA,NA
"CORALT07_WM","WM","CORALT",0.56,2.529336433,46.62778504,NA,NA,NA,NA,0.00271133682830931,NA,NA
"CORALT08_WM","WM","CORALT",0.606666666666667,2.310104827,45.77954877,NA,NA,NA,NA,0.00268207073489368,NA,NA
"CORCOR01_WM","WM","CORCOR",0.523243243243243,2.917403829,46.55749589,1.5,NA,NA,NA,0.00248130748362337,NA,NA
"CORCOR02_WM","WM","CORCOR",0.497777777777778,2.852752748,47.25442829,2,NA,1.5,NA,0.00238605149215513,NA,NA
"CORCOR03_WM","WM","CORCOR",0.524104234527687,2.451936524,43.39259789,4,1.8,2.2,NA,0.00342682109696564,NA,NA
"CORCOR04_WM","WM","CORCOR",0.552083333333333,2.895804583,46.45935045,NA,NA,NA,NA,0.00302326232399295,NA,NA
"CORCOR05_WM","WM","CORCOR",0.507547169811321,2.735411985,46.81093217,3,2,2,NA,0.00394406023888274,NA,NA
"CORCOR06_WM","WM","CORCOR",0.51864406779661,2.816118397,45.47530453,2.5,1.6,NA,NA,0.00322629375458587,NA,NA
"CORCOR07_WM","WM","CORCOR",NA,NA,NA,3.8,2,NA,NA,NA,NA,NA
"DIELON01_WM","WM","DIELON",NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA
"FAGGRA01_WM","WM","FAGGRA",0.55,2.878385706,47.64796656,NA,4.7,3.6,NA,0.00297257559291696,NA,NA
"FAGGRA02_WM","WM","FAGGRA",0.645631067961165,2.510463988,47.00679611,NA,10.9,NA,NA,NA,NA,NA
"FAGGRA03_WM","WM","FAGGRA",0.642434210526316,2.517228099,47.09370749,NA,11.8,NA,NA,0.00244779501534416,NA,NA
"FAGGRA04_WM","WM","FAGGRA",0.591534391534392,2.715066838,47.38806069,NA,13.2,NA,NA,0.00287683765849856,NA,NA
"FAGGRA05_WM","WM","FAGGRA",0.626966292134831,2.692084769,46.95188854,NA,9.7,NA,NA,0.00299933172228785,NA,NA
"FAGGRA07_WM","WM","FAGGRA",0.617314487632509,3.105889154,46.46595006,NA,16.1,NA,NA,0.00295147079799432,NA,NA
"FAGGRA08_WM","WM","FAGGRA",0.627042253521127,2.362357083,46.35439044,NA,19.2,NA,NA,0.00276233338695818,NA,NA
"FAGGRA09_WM","WM","FAGGRA",0.685748218527316,2.334131823,44.80801288,NA,12,NA,NA,0.00257195559113215,NA,NA
"FRAAME01.2_WM","WM","FRAAME",0.5515625,2.537304851,46.64458973,NA,11.1,NA,NA,NA,NA,NA
"FRAAME02_WM","WM","FRAAME",0.511619718309859,2.711005312,46.12134057,NA,4.7,NA,NA,0.00528611731369129,NA,NA
"FRAAME03_WM","WM","FRAAME",0.501442307692308,2.451566963,47.41394856,NA,14.1,NA,NA,0.00562964145971413,NA,NA
"FRAAME04_WM","WM","FRAAME",0.442767295597484,2.623343389,47.11486799,NA,38,NA,NA,0.00622799547517063,NA,NA
"FRAAME05_WM","WM","FRAAME",0.548830409356725,2.416013891,44.79827126,NA,13,NA,NA,0.00435023955844084,NA,NA
"FRAAME06_WM","WM","FRAAME",0.524583333333333,2.723214021,45.16213679,NA,NA,NA,NA,0.00522336541100733,NA,NA
"HAMVIR01_WM","WM","HAMVIR",0.578676470588235,2.071339419,38.30529126,2.2,1.5,NA,NA,0.00253481752934957,NA,NA
"HAMVIR02_WM","WM","HAMVIR",0.569291338582677,1.987630313,36.85369986,3,1.7,NA,NA,0.00270340754236012,NA,NA
"HAMVIR03_WM","WM","HAMVIR",0.509420289855072,2.051439915,46.96137199,2.5,1.8,NA,NA,0.00782075588984895,NA,NA
"HAMVIR04_WM","WM","HAMVIR",0.569651741293532,2.493670353,47.32860847,2.3,1.8,NA,NA,0.00637302593433376,NA,NA
"HAMVIR06_WM","WM","HAMVIR",0.546153846153846,1.904964835,47.49355028,NA,NA,NA,NA,0.00377347207271857,NA,NA
"HAMVIR07_WM","WM","HAMVIR",0.575,1.524224476,47.15154284,NA,NA,NA,NA,0.00553074710222554,NA,NA
"ILEMUC01_WM","WM","ILEMUC",0.523232323232323,2.425948216,48.30081258,1.1,NA,NA,NA,NA,NA,NA
"ILEMUC02_WM","WM","ILEMUC",0.569254658385093,2.280866584,50.10174215,3.5,3.3,NA,NA,0.00327794810029563,NA,NA
"ILEMUC03_WM","WM","ILEMUC",0.569108280254777,1.712468363,53.52686585,3.5,2.6,3.6,2.7,0.00445890898579894,NA,NA
"ILEMUC04_WM","WM","ILEMUC",0.583006535947712,1.615683207,39.5959388,2,NA,NA,1,0.00405451208359713,NA,NA
"ILEMUC05_WM","WM","ILEMUC",0.549848942598187,1.634138449,44.05286346,2.2,1.5,NA,NA,0.00373100724330027,NA,NA
"ILEMUC06_WM","WM","ILEMUC",0.614942528735632,1.830555275,50.01956592,2.5,1.9,2,1.4,0.00505237422335868,NA,NA
"ILEMUC07_WM","WM","ILEMUC",0.588721804511278,1.540981728,50.98823967,1.5,NA,NA,NA,0.00633681485014552,NA,NA
"KALANG01_WM","WM","KALANG",0.483193277310924,1.296178209,52.77778191,1,NA,NA,NA,0.00783413410333483,NA,NA
"KALANG02_WM","WM","KALANG",0.566666666666667,1.455037602,52.04320148,1,NA,NA,NA,0.00872317911416605,NA,NA
"KALANG03_WM","WM","KALANG",0.551239669421488,1.211167476,48.43280775,1,NA,NA,NA,0.00564413996669359,NA,NA
"KALANG04_WM","WM","KALANG",0.495575221238938,1.30273092,52.15217218,1,NA,NA,NA,0.00945597659515185,NA,NA
"KALANG05_WM","WM","KALANG",0.562162162162162,1.347716216,50.92361475,1,NA,NA,NA,0.00940480278973925,NA,NA
"KALANG06_WM","WM","KALANG",0.459210526315789,1.267836929,50.56074505,0.75,NA,NA,NA,0.0104996789666503,NA,NA
"KALANG07_WM","WM","KALANG",0.7,2.031001921,50.5644392,0.5,NA,NA,NA,0.00314697941565923,NA,NA
"LONCAN01_WM","WM","LONCAN",0.404545454545455,1.789154135,42.36585893,0.75,NA,NA,NA,0.00230886985564819,NA,NA
"MYRGAL01_WM","WM","MYRGAL",0.416,1.518137493,46.00032757,1,NA,NA,NA,0.00774253231082748,NA,NA
"MYRGAL02_WM","WM","MYRGAL",0.545652173913043,2.028598097,46.61485651,1,NA,NA,NA,0.00544359311274552,NA,NA
"MYRGAL03_WM","WM","MYRGAL",0.414285714285714,2.629794433,47.09611878,0.5,NA,NA,NA,0.00642307502066831,NA,NA
"MYRGAL04_WM","WM","MYRGAL",0.514193548387097,2.084236987,46.17755558,1,NA,NA,NA,0.00538877311799948,NA,NA
"MYRGAL05_WM","WM","MYRGAL",0.549763033175355,1.642270149,49.33497512,1.2,NA,NA,NA,0.00895560928660297,NA,NA
"MYRGAL06_WM","WM","MYRGAL",0.491695501730104,2.110146326,47.37975456,1.1,NA,NA,NA,0.00614473168820995,NA,NA
"POPGRA01_WM","WM","POPGRA",0.509033613445378,2.319883502,48.40537187,NA,NA,NA,NA,0.00514239482200647,NA,NA
"POPTRE01_WM","WM","POPTRE",0.54214463840399,2.38887201,48.32701891,NA,NA,NA,NA,0.00725346001004887,NA,NA
"POPTRE02_WM","WM","POPTRE",0.560677966101695,3.396503002,62.20919383,NA,NA,NA,NA,0.0069101099823911,NA,NA
"POPTRE03_WM","WM","POPTRE",0.511660329531052,2.018906863,48.06824193,NA,NA,NA,NA,0.00988101148247201,NA,NA
"POPTRE04_WM","WM","POPTRE",0.533444259567388,2.572086853,41.76519398,NA,NA,NA,NA,0.00739472060781194,NA,NA
"POPTRE05_WM","WM","POPTRE",0.531010452961672,2.277085179,47.37675254,NA,NA,NA,NA,0.00725263892356244,NA,NA
"PRUPEN01_WM","WM","PRUPEN",0.492481203007519,2.099277882,46.24912846,NA,NA,NA,NA,0.00433653097738737,NA,NA
"PRUPEN02_WM","WM","PRUPEN",0.566780821917808,2.307370074,47.20201166,NA,NA,NA,NA,0.00449779642507198,NA,NA
"PRUPEN03_WM","WM","PRUPEN",0.552631578947368,2.25178465,46.6567438,NA,NA,NA,NA,0.00513416437777308,NA,NA
"PRUPEN04_WM","WM","PRUPEN",0.569310344827586,1.881386569,46.52321105,NA,NA,NA,NA,0.00638956259931421,NA,NA
"PRUPEN05_WM","WM","PRUPEN",0.520363636363636,2.011868997,47.52165006,NA,NA,NA,NA,0.00596829100533707,NA,NA
"PRUPEN06_WM","WM","PRUPEN",0.540639269406393,1.876787639,45.92002706,NA,NA,NA,NA,0.00546448087431694,NA,NA
"QUERUB01_WM","WM","QUERUB",0.563602251407129,2.435584917,47.99443637,NA,NA,NA,NA,0.00398555864170697,NA,NA
"QUERUB02_WM","WM","QUERUB",0.698095238095238,2.31896107,46.46854146,NA,NA,NA,NA,0.00455200576507326,NA,NA
"QUERUB03_WM","WM","QUERUB",0.667761194029851,2.64200783,46.61050423,NA,NA,NA,NA,0.00521761937919384,NA,NA
"QUERUB04_WM","WM","QUERUB",0.645427728613569,2.280851288,47.44306525,NA,NA,NA,NA,0.00445503234332615,NA,NA
"QUERUB05_WM","WM","QUERUB",0.603676470588235,2.305419873,47.56409079,NA,NA,NA,NA,0.00565126944194133,NA,NA
"QUERUB06_WM","WM","QUERUB",0.630357142857143,2.476921475,48.32672742,NA,NA,NA,NA,0.00631956320935039,NA,NA
"RHAFRA01_WM","WM","RHAFRA",0.487272727272727,3.231855811,45.59609183,0.5,NA,NA,NA,NA,NA,NA
"RHOPRI01_WM","WM","RHOPRI",0.445714285714286,1.727032786,49.98087427,1.3,NA,NA,NA,0.00484959638131935,NA,NA
"RHOPRI02_WM","WM","RHOPRI",0.422689075630252,1.905220736,49.71258477,1,NA,NA,NA,0.00452633374072706,NA,NA
"RHOPRI03_WM","WM","RHOPRI",0.5,1.816556719,51.65200875,1.2,NA,NA,NA,0.00649959342247922,NA,NA
"RHOPRI04_WM","WM","RHOPRI",0.48298969072165,1.73841458,50.19044252,1.1,NA,NA,NA,0.00554006389540359,NA,NA
"RHOPRI05_WM","WM","RHOPRI",0.407303370786517,1.432486331,48.34305997,1.2,NA,NA,NA,0.00597570603872257,NA,NA
"RHOPRI06_WM","WM","RHOPRI",0.538709677419355,1.44887119,49.26706754,1.2,NA,NA,NA,0.00588273113025588,NA,NA
"SPIALB01_WM","WM","SPIALB",0.576315789473684,1.966032723,48.71539591,1,NA,NA,NA,0.00418031373901052,NA,NA
"SPIALB02_WM","WM","SPIALB",0.558461538461538,2.39656216,49.28855343,1.5,NA,NA,NA,0.0051709954166177,NA,NA
"SPIALB03_WM","WM","SPIALB",0.536059479553903,1.850379724,47.69092299,1.4,NA,NA,NA,0.00554271572617757,NA,NA
"SPIALB04_WM","WM","SPIALB",0.617692307692308,2.38747209,49.43031748,1.2,NA,NA,NA,0.00446006616257089,NA,NA
"SPIALB05_WM","WM","SPIALB",0.641176470588235,2.350665344,49.41722575,1.1,NA,NA,NA,0.00381745530162484,NA,NA
"SPIALB06_WM","WM","SPIALB",0.397752808988764,2.293135412,48.85879133,NA,NA,NA,NA,0.00357223433857261,NA,NA
"SPITOM01_WM","WM","SPITOM",0.605479452054795,1.84628648,50.60568269,1,NA,NA,NA,0.00611342456485143,NA,NA
"SPITOM02_WM","WM","SPITOM",0.400847457627119,1.95842358,51.46740221,1.4,NA,NA,NA,0.00603805415563338,NA,NA
"SPITOM03_WM","WM","SPITOM",0.434722222222222,1.802984666,49.98361918,NA,NA,NA,NA,0.00467802061252832,NA,NA
"SPITOM04_WM","WM","SPITOM",0.503125,1.71901087,51.23791009,NA,NA,NA,NA,0.00603527763474596,NA,NA
"SPITOM05_WM","WM","SPITOM",0.522222222222222,1.934822823,51.35198582,NA,NA,NA,NA,0.00559660705697171,NA,NA
"SPITOM06_WM","WM","SPITOM",0.53695652173913,1.501203122,50.98006778,NA,NA,NA,NA,0.00569388821173603,NA,NA
"ULMAME01_WM","WM","ULMAME",0.568072289156626,2.699992623,46.06015727,NA,8.1,NA,NA,0.00508819866181341,NA,NA
"ULMAME02_WM","WM","ULMAME",0.624896694214876,2.536935176,45.07831366,NA,24.5,NA,NA,0.00650211951319568,NA,NA
